Id,Score,Country,Altitude,Variety,Processing,Arome,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Defects,Moisture,Defects 1,Quakers,Color,Defects 2
"#357789","89.25","Brazil","780","Other","Washed / Wet","8.25","8.5","8.58","8.5","8.5","8.33","10.0","10.0","10.0","8.58","0.0","10 %","0 full defects","0","Bluish-Green","5 full defects"
"#961547","87.17","Ethiopia","2219","Ethiopian Heirlooms","Other","8.25","8.25","7.92","8.42","7.92","8.08","10.0","10.0","10.0","8.33","0.0","11 %","0 full defects","3","Green","4 full defects"
"#274278","86.75","Brazil","1280","Other","Washed / Wet","7.92","8.17","8.17","8.25","8.08","8.08","10.0","10.0","10.0","8.08","0.0","12 %","0 full defects","2","nan","0 full defects"
"#507718","86.58","Ethiopia","2100","Other","Washed / Wet","8.25","8.17","7.92","8.17","7.83","8.0","10.0","10.0","10.0","8.25","0.0","12 %","0 full defects","1","Green","3 full defects"
"#308592","86.58","Brazil","1180","Other","Washed / Wet","8.17","7.92","8.0","8.17","8.25","8.08","10.0","10.0","10.0","8.0","0.0","10 %","0 full defects","0","Bluish-Green","2 full defects"
"#282143","86.33","Brazil","1300","Other","Washed / Wet","7.83","8.0","8.0","8.08","8.08","8.17","10.0","10.0","10.0","8.17","0.0","11 %","0 full defects","0","Bluish-Green","1 full defects"
"#758571","86.25","Ethiopia","2000","Ethiopian Yirgacheffe","Washed / Wet","8.0","8.0","8.0","8.08","8.0","8.0","10.0","10.0","10.0","8.17","0.0","10 %","0 full defects","0","Blue-Green","0 full defects"
"#139012","85.75","Brazil","1300","Other","Washed / Wet","7.92","8.08","7.83","7.92","7.92","8.0","10.0","10.0","10.0","8.08","0.0","11 %","0 full defects","0","Bluish-Green","0 full defects"
"#508424","85.75","Brazil","1244","Other","Washed / Wet","7.92","8.08","7.92","8.0","7.83","7.92","10.0","10.0","10.0","8.08","0.0","12 %","0 full defects","0","Bluish-Green","1 full defects"
"#529406","85.67","Ethiopia","1994","Ethiopian Yirgacheffe","Washed / Wet","8.0","8.0","7.83","8.0","8.0","8.0","10.0","10.0","10.0","7.83","0.0","10 %","0 full defects","0","Green","7 full defects"
"#619793","85.50","Brazil","1244","Other","Washed / Wet","7.92","7.92","7.83","8.0","7.92","8.0","10.0","10.0","10.0","7.92","0.0","11 %","0 full defects","0","Bluish-Green","0 full defects"
"#200218","85.50","Brazil","1244","Other","Washed / Wet","7.75","8.08","8.0","8.0","7.92","7.83","10.0","10.0","10.0","7.92","0.0","11 %","0 full defects","0","Bluish-Green","5 full defects"
"#811504","85.42","Ethiopia","1800","Ethiopian Heirlooms","Washed / Wet","8.17","8.0","7.67","8.0","7.75","7.83","10.0","10.0","10.0","8.0","0.0","11 %","0 full defects","0","Green","2 full defects"
"#428993","85.25","Brazil","1006","Other","Natural / Dry","7.83","8.0","8.0","7.75","7.83","7.92","10.0","10.0","10.0","7.92","0.0","11 %","0 full defects","0","Bluish-Green","2 full defects"
"#592575","85.25","Brazil","1100","Bourbon","Pulped natural / honey","7.92","7.83","7.83","7.92","7.92","7.83","10.0","10.0","10.0","8.0","0.0","11 %","0 full defects","0","Bluish-Green","3 full defects"
"#135582","85.17","Honduras","1450","Catuai","Washed / Wet","7.92","7.92","7.75","7.92","7.92","7.83","10.0","10.0","10.0","7.92","0.0","9 %","0 full defects","0","Green","1 full defects"
"#939387","85.08","Uganda","1790","SL28","Washed / Wet","7.83","8.08","7.92","7.67","7.83","7.75","10.0","10.0","10.0","8.0","0.0","10 %","0 full defects","0","Green","0 full defects"
"#835570","85.00","Ethiopia","1700","Ethiopian Heirlooms","Natural / Dry","7.58","8.17","7.75","8.25","7.75","7.5","10.0","10.0","10.0","8.0","0.0","10 %","0 full defects","1","Green","3 full defects"
